n	p	t	o	pr	tr	tp	s	pd	ce	r	e	a	rl	su	mp	px	fw	st	ad
Rico Dowdle	RB	Pittsburgh Steelers	126	RB42	139	RB44	7.58	7.356	6.6	7.7	8.5	8.8	7.5	8.5	175.25	FADE	105–late	PASS	82
Jonah Coleman	RB	Denver Broncos	127	RB43	135	RB43	7.08	6	7.1	6.8	9.2	8.8	6.7	8.1	100	BUY	140–165	MAJOR ROLE WATCH	168
Aaron Jones Sr.	RB	Minnesota Vikings	128	RB44	158	RB53	6.885	7	6.5	7	8.3	6.1	6.6	6.3	156.5	FAIR	120–135	AGE / DURABILITY / COMMITTEE WATCH	120
RJ Harvey	RB	Denver Broncos	129	RB45	124	RB37	7.893	7.865	6.7	7.9	9.2	9	7.7	8.2	198.25	FADE	105–late	PASS	76
Deebo Samuel	WR	San Francisco 49ers	130	WR54	119	WR54	8.095	8	8.4	8	8.7	7.7	7.7	7.8	153	BUY	145–165	PEARSALL/ROLE/HEALTH WATCH	169
Malik Washington	WR	Miami Dolphins	131	WR55	151	WR57	7.08	6.3	7.4	8.2	6.5	8.8	6.1	6.6	154.5	BUY	145–175	ROLE / OFFENSIVE-TRANSITION WATCH	217
Kaleb Johnson	RB	Green Bay Packers	132	RB46	143	RB47	7.34	6.6	7.5	7.3	8.8	9	6.1	7	108	FAIR	late / waivers	JACOBS UNAVAILABLE — ROTATION / POWER-ROLE OPPORTUNITY	
Wan'Dale Robinson	WR	Tennessee Titans	133	WR56	122	WR55	7.776	7.432	6.5	8.8	8.2	8.7	8.6	8.7	183.5	FADE	120–late	PASS	94
Daniel Jones	QB	Indianapolis Colts	134	QB13	129	QB18	8.352	8.405	7.7	9.2	8.8	7.9	8.6	7.8	250.25	BUY	145–170	POST-ACHILLES MOBILITY / DURABILITY WATCH	174
Bo Nix	QB	Denver Broncos	135	QB14	77	QB11	9.076	9.303	8.7	9.5	9.2	8.6	8.7	8.8	320.25	BUY	105–118	ANKLE WATCH	116
Tyjae Spears	RB	Tennessee Titans	136	RB47	144	RB48	7.485	7.2	8.3	7.2	7.4	7.6	6.8	7.7	159.2	BUY	130–145	BACKFIELD-SHARE WATCH	144
Tyrone Tracy Jr.	RB	New York Giants	137	RB48	145	RB49	7.238	6.767	7.1	7.1	8.1	8.2	7.1	8	153	FAIR	120–135	SHOULDER/ROLE WATCH	132
Brock Purdy	QB	San Francisco 49ers	138	QB15	127	QB17	9.06	9.129	8.6	9.7	8.8	9.1	9	9	309.75	FAIR	100–108	SUPPORTING-CAST WATCH	100
Chris Rodriguez Jr.	RB	Jacksonville Jaguars	139	RB49	150	RB52	6.98	6	6.5	7.6	9	7.5	7.5	8.3	91.5	FAIR	130–140	KNEE/COMMITTEE WATCH	134
Jared Goff	QB	Detroit Lions	140	QB16	123	QB16	9.058	9.05	8.3	9.7	9.2	9.3	9.2	9.3	305	FAIR	108–120	PASS	118
Brian Robinson Jr.	RB	Atlanta Falcons	141	RB50	141	RB45	6.9	6	6.5	6.9	8.5	8.6	7	8.1	111	FAIR	145–160	CLEAR BACKUP ROLE	155
Keaton Mitchell	RB	Los Angeles Chargers	142	RB51	149	RB51	6.99	6	7.3	6.8	9.1	7.6	6.8	8	94	BUY	135–145	RB2 BATTLE WATCH	143
Kaytron Allen	RB	Washington Commanders	143	RB52	161	RB55	7.125	6.9	6.3	6.5	8.9	8.8	6.8	7.7	68	FAIR	180–200	ROLE WATCH	195
Chris Bell	WR	Miami Dolphins	144	WR57	159	WR61	6.55025	6.21	6.27	6.6	6.5	7.6	6.564	7.89	94	BUY	210–late	ACL RECOVERY — RETURNED TO PRACTICE	178
Kyler Murray	QB	Minnesota Vikings	145	QB17	109	QB15	8.8835	9.413	8.35	9.28	8.76	8.2	8.41	8.2	290.75	FAIR	125–140	STARTING-JOB LEAD / CAMP WATCH	130
Tre' Harris	WR	Los Angeles Chargers	146	WR58	138	WR56	7.315	6	8.1	7.4	9.1	8.5	6.8	7.7	116.5	BUY	170–205	X-ROLE / TARGET-SHARE WATCH	215
Darnell Mooney	WR	New York Giants	147	WR59	154	WR58	6.595	6	6.2	6.4	8.1	8	6.5	7.2	71.75	BUY	170–195	ROLE-COMPETITION WATCH	199
Jalen Nailor	WR	Las Vegas Raiders	148	WR60	156	WR60	6.88	6	6.7	7.2	7.9	8.3	6.9	7.9	110.75	BUY	145–160	ROLE WATCH	155
Michael Mayer	TE	Las Vegas Raiders	149	TE20	153	TE20	6.355	6	4.9	6.5	7.9	8	6.6	7.6	83.5	FAIR	250–late	TWO-TE USAGE WATCH	314
J.K. Dobbins	RB	Denver Broncos	150	RB53	142	RB46	6.998	6.467	6.2	8.2	9.2	5.9	7.3	7.8	144	FADE	125–late	MAJOR DURABILITY WATCH	91
